NO,Y2019-1,Y2019-2,Y2018-1,Y2018-2,Y2018-3,Y2017-1,Y2017-2,Y2017-3,Y2016-1,Y2016-2,Y2016-3,Y2015-1,Y2015-2,Y2015-3,Y2014-1,Y2014-2,Y2014-3,Y2013-1,Y2013-2,Y2013-3,Y2012-1,Y2012-2,Y2012-3,Y2011-1,Y2011-2,Y2011-3,Y2010-1,Y2010-2,Y2010-3
47,tt8385474,tt8364132,tt2401825,tt6324892,tt7817448,tt3564472,tt5175450,tt6237984,tt3741834,tt4182282,tt5295838,tt2909116,tt3501416,tt4426656,tt0864835,tt2731970,tt3528756,tt1854564,tt2256741,tt2807624,tt1667353,tt1967560,tt2338778,tt1192628,tt1696190,tt2016872,tt0989757,tt1481572,tt1773314
48,tt7958736,tt8365398,tt6857166,tt6328004,tt7819394,tt4555426,tt5175636,tt6238084,tt3631112,tt4183372,tt5297256,tt2872750,tt3501492,tt4427060,tt2096672,tt2732286,tt3528852,tt1204975,tt2256833,tt2811690,tt1077368,tt1967651,tt2339351,tt0990407,tt1696191,tt2016955,tt1424381,tt1481573,tt1773370
49,tt8155288,tt8366502,tt6772950,tt6338506,tt7819860,tt5308322,tt5176252,tt6239586,tt4591310,tt4185566,tt5304086,tt1895587,tt3501590,tt4427076,tt1408253,tt2737050,tt3528906,tt2302755,tt2257816,tt2811878,tt1047540,tt1967697,tt2339367,tt1007029,tt1697878,tt2016959,tt1533117,tt1481576,tt1773378
50,tt4126476,tt8367184,tt1590193,tt6340500,tt7820846,tt5657846,tt5176390,tt6241768,tt1700841,tt4189494,tt5304614,tt3450650,tt3503460,tt4428720,tt1528100,tt2738706,tt3529110,tt0359950,tt2258212,tt2814372,tt1440129,tt1969012,tt2339549,tt1401152,tt1697920,tt2017452,tt1179056,tt1482161,tt1773507
51,tt7054636,tt8372298,tt2119543,tt6341066,tt7822320,tt1856101,tt5176832,tt6243140,tt2094766,tt4190256,tt5305246,tt2555736,tt3503840,tt4428728,tt2333784,tt2739884,tt3529198,tt2378281,tt2258345,tt2816642,tt1790885,tt1969175,tt2339707,tt1570728,tt1698008,tt2018083,tt1037705,tt1482932,tt1773676
52,tt6565702,tt8378126,tt2873282,tt6341668,tt7822440,tt1615160,tt5178120,tt6243274,tt4624424,tt4190530,tt5307382,tt1850457,tt3505754,tt4428788,tt1924435,tt2740538,tt3529612,tt1245492,tt2261409,tt2816740,tt1596350,tt1970076,tt2341664,tt1464540,tt1698027,tt2022521,tt1393746,tt1483020,tt1773741
53,tt7634968,tt8383694,tt5083738,tt6342062,tt7826276,tt1469304,tt5180888,tt6244876,tt2140479,tt4191702,tt5307698,tt1524930,tt3507138,tt4428800,tt2106361,tt2741090,tt3529664,tt2431286,tt2261434,tt2816776,tt1636826,tt1970077,tt2342061,tt1222817,tt1698499,tt2023367,tt0758752,tt1483386,tt1774264
54,tt7798634,tt8385420,tt2704998,tt6342110,tt7827658,tt6359956,tt5181852,tt6247708,tt3949660,tt4193394,tt5308240,tt3622592,tt3509426,tt4428814,tt2980516,tt2745684,tt3530146,tt1211956,tt2261749,tt2819358,tt1496025,tt1971365,tt2342071,tt1598822,tt1698653,tt2023473,tt1386588,tt1483753,tt1774319
55,tt7430722,tt8386898,tt1563742,tt6342440,tt7830428,tt1981128,tt5183500,tt6247936,tt4094724,tt4195148,tt5309954,tt2561572,tt3510112,tt4429074,tt2975578,tt2746200,tt3530418,tt2184339,tt2262175,tt2820226,tt1535438,tt1971403,tt2342207,tt1067583,tt1699122,tt2023528,tt1294226,tt1483821,tt1776201
56,tt2935510,tt8388508,tt6450186,tt6346982,tt7830584,tt3348730,tt5183594,tt6249434,tt2238032,tt4196832,tt5310090,tt3832914,tt3510304,tt4429128,tt3541262,tt2751310,tt3530456,tt2140373,tt2262270,tt2821088,tt1621045,tt1971558,tt2342227,tt0881320,tt1699128,tt2023645,tt0477080,tt1484918,tt1776979
57,tt1206885,tt8390612,tt7349662,tt6353036,tt7830960,tt2091256,tt5187886,tt6251666,tt3393786,tt4197474,tt5310230,tt3540136,tt3510480,tt4429588,tt1204977,tt2751390,tt3530690,tt1588173,tt2263210,tt2821784,tt1922777,tt1971571,tt2342233,tt0471042,tt1699135,tt2025506,tt1055292,tt1484942,tt1777573
58,tt7083526,tt8393332,tt7040874,tt6354056,tt7831674,tt1987680,tt5189770,tt6253214,tt4052882,tt4197642,tt5310594,tt2473510,tt3512072,tt4430136,tt2980706,tt2756910,tt3530830,tt1288558,tt2263430,tt2821832,tt1327194,tt1972803,tt2342301,tt1385826,tt1699140,tt2025511,tt0429493,tt1484954,tt1777616
59,tt8663516,tt8394314,tt7668870,tt6365796,tt7832124,tt3532216,tt5189828,tt6253370,tt1179933,tt4201422,tt5311004,tt1798684,tt3513054,tt4430212,tt1809398,tt2758880,tt3531496,tt2334873,tt2263640,tt2821880,tt1386703,tt1972819,tt2342317,tt1071875,tt1699163,tt2025526,tt1282140,tt1486190,tt1777642
60,tt1025100,tt8396186,tt6781982,tt6368508,tt7833952,tt2872518,tt5189894,tt6253546,tt3522806,tt4202960,tt5311514,tt1029360,tt3515632,tt4430992,tt1929263,tt2758890,tt3531604,tt1392214,tt2263814,tt2822400,tt0431021,tt1974241,tt2342810,tt1598778,tt1699164,tt2027178,tt1250777,tt1486196,tt1778258
61,tt8772262,tt8396210,tt2531344,tt6384386,tt7834694,tt6157626,tt5192674,tt6253942,tt1289401,tt4206228,tt5311546,tt1618442,tt3517026,tt4431392,tt1086772,tt2760202,tt3531852,tt2194499,tt2263944,tt2823574,tt1524137,tt1974308,tt2343086,tt0810913,tt1699185,tt2027265,tt1320244,tt1486670,tt1778780
62,tt8186318,tt8396294,tt7401588,tt6384720,tt7838158,tt2406566,tt5193658,tt6256056,tt2869728,tt4210080,tt5312232,tt0884732,tt3519192,tt4431646,tt1956620,tt2760634,tt3532544,tt1272878,tt2265080,tt2825924,tt1591479,tt1976491,tt2343134,tt1389137,tt1699202,tt2028457,tt0963966,tt1487916,tt1778883
